Company Name,Industry,Symbol,Series,ISIN Code
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01019
