Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011
CESC Ltd.,ENERGY,CESC,EQ,INE486A01013
Cairn India Ltd.,ENERGY,CAIRN,EQ,INE910H01017
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,EQ,INE094A01015
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01020
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
NHPC Ltd.,ENERGY,NHPC,EQ,INE848E01016
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029
Oil India Ltd.,ENERGY,OIL,EQ,INE274J01014
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018
Reliance Infrastructure Ltd.,ENERGY,RELINFRA,EQ,INE036A01016
Reliance Power Ltd.,ENERGY,RPOWER,EQ,INE614G01033
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019
Tata Power Co. Ltd.,ENERGY,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
