Company Name,Industry,Symbol,Series,ISIN Code
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
IDFC Bank Ltd.,FINANCIAL SERVICES,IDFCBANK,EQ,INE092T01019
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,EQ,INE036D01010
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01019
