Company Name,Industry,Symbol,Series,ISIN Code
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011
Cairn India Ltd.,ENERGY,CAIRN,EQ,INE910H01017
GAIL (India) Ltd.,ENERGY,GAIL,EQ,INE129A01019
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,EQ,INE094A01015
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010
Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018
Tata Power Co. Ltd.,ENERGY,TATAPOWER,EQ,INE245A01021
