Company Name,Industry,Symbol,Series,ISIN Code
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,EQ,INE008A01015
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,EQ,INE141A01014
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Syndicate Bank,FINANCIAL SERVICES,SYNDIBANK,EQ,INE667A01018
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
