Company Name,Industry,Symbol,Series,ISIN Code
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Delta Corp Ltd.,CONSTRUCTION,DELTACORP,EQ,INE124G01033
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Housing Development and Infrastructure Ltd.,CONSTRUCTION,HDIL,EQ,INE191I01012
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,EQ,INE093I01010
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD,EQ,INE211B01039
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
Unitech Ltd.,CONSTRUCTION,UNITECH,EQ,INE694A01020
