Company Name,Industry,Symbol,Series,ISIN Code
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021
Cera Sanitaryware Ltd,CONSTRUCTION,CERA,EQ,INE739E01017
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,EQ,INE178A01016
Coffee Day Enterprises Ltd.,CONSUMER GOODS,COFFEEDAY,EQ,INE335K01011
Corporation Bank,FINANCIAL SERVICES,CORPBANK,EQ,INE112A01023
Cox & Kings Ltd.,SERVICES,COX&KINGS,EQ,INE008I01026
Crompton Greaves Ltd.,INDUSTRIAL MANUFACTURING,CROMPGREAV,EQ,INE067A01029
D B Realty Ltd.,CONSTRUCTION,DBREALTY,EQ,INE879I01012
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,EQ,INE499A01024
Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT,EQ,INE501A01019
Delta Corp Ltd.,CONSTRUCTION,DELTACORP,EQ,INE124G01033
Den Networks Ltd.,MEDIA & ENTERTAINMENT,DEN,EQ,INE947J01015
Dena Bank,FINANCIAL SERVICES,DENABANK,EQ,INE077A01010
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,EQ,INE435G01025
Dishman Pharmaceuticals & Chemicals Ltd.,PHARMA,DISHMAN,EQ,INE353G01020
Dredging Corporation of India Ltd.,SERVICES,DREDGECORP,EQ,INE506A01018
Dynamatic Technologies Ltd.,AUTOMOBILE,DYNAMATECH,EQ,INE221B01012
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,EQ,INE126A01031
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,EQ,INE988K01017
Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,EROSMEDIA,EQ,INE416L01017
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,ESSELPACK,EQ,INE255A01020
Eveready Industries India Ltd.,CONSUMER GOODS,EVEREADY,EQ,INE128A01029
FDC Ltd.,PHARMA,FDC,EQ,INE258B01022
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,EQ,INE183A01016
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,EQ,INE220J01025
Future Lifestyle Fashions Ltd.,CONSUMER GOODS,FLFL,EQ,INE452O01016
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,EQ,INE878A01011
GVK Power & Infrastructures Ltd.,CONSTRUCTION,GVKPIL,EQ,INE251H01024
Gateway Distriparks Ltd.,SERVICES,GDL,EQ,INE852F01015
Gati Ltd.,SERVICES,GATI,EQ,INE152B01027
Gayatri Projects Ltd.,CONSTRUCTION,GAYAPROJ,EQ,INE336H01015
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,EQ,INE224A01026
Greenply Industries Ltd.,CONSUMER GOODS,GREENPLY,EQ,INE461C01038
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,EQ,INE536A01023
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025
Gulf Oil Lubricants India Ltd.,ENERGY,GULFOILLUB,EQ,INE635Q01029
HCL Infosystems Ltd.,IT,HCL-INSYS,EQ,INE236A01020
HSIL Ltd.,CONSUMER GOODS,HSIL,EQ,INE415A01038
HT Media Ltd.,MEDIA & ENTERTAINMENT,HTMEDIA,EQ,INE501G01024
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,EQ,INE982F01036
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,EQ,INE578A01017
Himachal Fut Com Ltd.,TELECOM,HFCL,EQ,INE548A01028
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,EQ,INE049A01027
Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC,EQ,INE549A01026
Hindustan Media Vent Ltd.,MEDIA & ENTERTAINMENT,HMVL,EQ,INE871K01015
Housing Development and Infrastructure Ltd.,CONSTRUCTION,HDIL,EQ,INE191I01012
ICRA Ltd.,FINANCIAL SERVICES,ICRA,EQ,INE725G01011
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
IL&FS Transportation Networks Ltd.,SERVICES,IL&FSTRANS,EQ,INE975G01012
ITD Cementation India Ltd.,CONSTRUCTION,ITDCEM,EQ,INE686A01026
Igarashi Motors India Ltd.,AUTOMOBILE,IGARASHI,EQ,INE188B01013
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Indo Count Industries Ltd.,TEXTILES,ICIL,EQ,INE483B01018
Indoco Remedies Ltd.,PHARMA,INDOCO,EQ,INE873D01024
Infibeam Incorporation Ltd.,IT,INFIBEAM,EQ,INE483S01012
Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,INGERRAND,EQ,INE177A01018
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR,EQ,INE312H01016
Intellect Design Arena Ltd.,IT,INTELLECT,EQ,INE306R01017
International Paper APPM Ltd.,PAPER,IPAPPM,EQ,INE435A01028
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01028
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT,EQ,INE823G01014
J.Kumar Infraprojects Ltd.,CONSTRUCTION,JKIL,EQ,INE576I01022
JBF Industries Ltd.,TEXTILES,JBFIND,EQ,INE187A01017
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,EQ,INE786A01032
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,EQ,INE573A01042
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL,EQ,INE780C01023
JMT Auto Ltd.,AUTOMOBILE,JMTAUTOLTD,EQ,INE988E01036
JSW Holdings Ltd.,FINANCIAL SERVICES,JSWHL,EQ,INE824G01012
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,EQ,INE070D01027
Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING,JISLJALEQS,EQ,INE175A01038
Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS,JPASSOCIAT,EQ,INE455F01025
Jaiprakash Power Ventures Ltd.,ENERGY,JPPOWER,EQ,INE351F01018
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,EQ,INE168A01041
Jaypee Infratech Ltd.,SERVICES,JPINFRATEC,EQ,INE099J01015
Jindal Poly Films Ltd.,INDUSTRIAL MANUFACTURING,JINDALPOLY,EQ,INE197D01010
Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC,EQ,INE782A01015
K.P.R. Mill Ltd.,TEXTILES,KPRMILL,EQ,INE930H01015
KPIT Technologies Ltd.,IT,KPIT,EQ,INE836A01035
KRBL Ltd.,CONSUMER GOODS,KRBL,EQ,INE001B01026
KSB Pumps Ltd.,INDUSTRIAL MANUFACTURING,KSBPUMPS,EQ,INE999A01015
Kalpataru Power Transmission Ltd.,ENERGY,KALPATPOWR,EQ,INE220B01022
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,EQ,INE614B01018
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,EQ,INE455I01029
Kec International Ltd.,CONSTRUCTION,KEC,EQ,INE389H01022
Kesoram Industries Ltd.,AUTOMOBILE,KESORAMIND,EQ,INE087A01019
Kitex Garments Ltd.,TEXTILES,KITEX,EQ,INE602G01020
Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL,EQ,INE094I01018
Kwality Ltd.,CONSUMER GOODS,KWALITY,EQ,INE775B01025
La Opala RG Ltd.,CONSUMER GOODS,LAOPALA,EQ,INE059D01020
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,EQ,INE269B01029
Lakshmi Vilas Bank Ltd.,FINANCIAL SERVICES,LAKSHVILAS,EQ,INE694C01018
Lanco Infratech Ltd.,ENERGY,LITL,EQ,INE785C01048
Linde India Ltd.,CHEMICALS,LINDEINDIA,EQ,INE473A01011
MMTC Ltd.,SERVICES,MMTC,EQ,INE123F01029
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020
Magma Fincorp Ltd.,FINANCIAL SERVICES,MAGMA,EQ,INE511C01022
Mahanagar Telephone Nigam Ltd.,TELECOM,MTNL,EQ,INE153A01019
Mahindra Holidays & Resorts India Ltd.,SERVICES,MHRIL,EQ,INE998I01010
Mahindra Lifespace Developers Ltd.,CONSTRUCTION,MAHLIFE,EQ,INE813A01018
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
Manpasand Beverages Ltd.,CONSUMER GOODS,MANPASAND,EQ,INE122R01018
Marksans Pharma Ltd.,PHARMA,MARKSANS,EQ,INE750C01026
Mayur Uniquoters Ltd.,TEXTILES,MAYURUNIQ,EQ,INE040D01038
McLeod Russel India Ltd.,CONSUMER GOODS,MCLEODRUSS,EQ,INE942G01012
Merck Ltd.,PHARMA,MERCK,EQ,INE199A01012
Monsanto India Ltd.,FERTILISERS & PESTICIDES,MONSANTO,EQ,INE274B01011
Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,MOTILALOFS,EQ,INE338I01027
NCC Ltd.,CONSTRUCTION,NCC,EQ,INE868B01028
NIIT Technologies Ltd.,IT,NIITTECH,EQ,INE591G01017
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,EQ,INE048G01018
Navkar Corporation Ltd.,SERVICES,NAVKARCORP,EQ,INE278M01019
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,EQ,INE310A01015
Nitin Fire Protection Industries Ltd.,INDUSTRIAL MANUFACTURING,NITINFIRE,EQ,INE489H01020
OCL India Ltd.,CEMENT & CEMENT PRODUCTS,OCL,EQ,INE290B01025
Omaxe Ltd.,CONSTRUCTION,OMAXE,EQ,INE800H01010
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM,EQ,INE876N01018
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,EQ,INE141A01014
Orissa Min Dev Co Ltd.,METALS,ORISSAMINE,EQ,INE725E01024
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,EQ,INE195J01029
PTC India Fin Serv Ltd.,FINANCIAL SERVICES,PFS,EQ,INE560K01014
PTC India Ltd.,ENERGY,PTC,EQ,INE877F01012
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
Polaris Consulting & Services Ltd.,IT,POLARIS,EQ,INE763A01023
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,EQ,INE074A01025
Prism Cement Ltd.,CEMENT & CEMENT PRODUCTS,PRISMCEM,EQ,INE010A01011
Punj Lloyd Ltd.,CONSTRUCTION,PUNJLLOYD,EQ,INE701B01021
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Rain Industries Ltd,CHEMICALS,RAIN,EQ,INE855B01025
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020
Ramco Systems Ltd.,IT,RAMCOSYS,EQ,INE246B01019
Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,RKFORGE,EQ,INE399G01015
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,EQ,INE027A01015
RattanIndia Power Ltd.,ENERGY,RTNPOWER,EQ,INE399K01017
Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014
Redington (India) Ltd.,SERVICES,REDINGTON,EQ,INE891D01026
Reliance Defence and Engineering Ltd.,INDUSTRIAL MANUFACTURING,RDEL,EQ,INE542F01012
Reliance Industrial Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,RIIL,EQ,INE046A01015
Religare Enterprises Ltd.,FINANCIAL SERVICES,RELIGARE,EQ,INE621H01010
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,EQ,INE612J01015
Rolta India Ltd.,IT,ROLTA,EQ,INE293A01013
Ruchi Soya Industries Ltd.,CONSUMER GOODS,RUCHISOYA,EQ,INE619A01027
S H Kelkar and Company Ltd.,CONSUMER GOODS,SHK,EQ,INE500L01026
SML Isuzu Ltd.,AUTOMOBILE,SMLISUZU,EQ,INE294B01019
SREI Infrastructure Finance Ltd.,FINANCIAL SERVICES,SREINFRA,EQ,INE872A01014
Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,SCHNEIDER,EQ,INE839M01018
Sequent Scientific Ltd.,PHARMA,SEQUENT,EQ,INE807F01027
Sharda Cropchem Ltd.,FERTILISERS & PESTICIDES,SHARDACROP,EQ,INE221J01015
Shilpa Medicare Ltd.,PHARMA,SHILPAMED,EQ,INE790G01031
Shipping Corporation of India Ltd.,SERVICES,SCI,EQ,INE109A01011
Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP,EQ,INE498B01024
Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,EQ,INE087H01022
Simplex Infrastructures Ltd.,CONSTRUCTION,SIMPLEXINF,EQ,INE059B01024
Sintex Industries Ltd.,INDUSTRIAL MANUFACTURING,SINTEX,EQ,INE429C01035
Siti Networks Ltd.,MEDIA & ENTERTAINMENT,SITINET,EQ,INE965H01011
Snowman Logistics Ltd.,SERVICES,SNOWMAN,EQ,INE734N01019
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
Somany Ceramics Ltd.,CONSTRUCTION,SOMANYCERA,EQ,INE355A01028
Sonata Software Ltd.,IT,SONATSOFTW,EQ,INE269A01021
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023
Star Ferro & Cement Ltd.,CEMENT & CEMENT PRODUCTS,SFCL,EQ,INE935O01010
State Bank of Bikaner & Jaipur Ltd.,FINANCIAL SERVICES,SBBJ,EQ,INE648A01026
State Bank of Mysore,FINANCIAL SERVICES,MYSOREBANK,EQ,INE651A01020
State Bank of Travancore,FINANCIAL SERVICES,SBT,EQ,INE654A01024
State Trading Corporation of India Ltd.,SERVICES,STCINDIA,EQ,INE655A01013
Sundram Fasteners Ltd.,AUTOMOBILE,SUNDRMFAST,EQ,INE387A01021
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01026
Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT,EQ,INE399C01030
Suven Life Sciences Ltd.,PHARMA,SUVEN,EQ,INE495B01038
Swan Energy Ltd.,CONSTRUCTION,SWANENERGY,EQ,INE665A01038
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,EQ,INE038F01029
TVS Srichakra Ltd.,AUTOMOBILE,TVSSRICHAK,EQ,INE421C01016
Take Solutions Ltd.,IT,TAKE,EQ,INE142I01023
Tamil Nadu Newsprint & Papers Ltd.,PAPER,TNPL,EQ,INE107A01015
Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE,EQ,INE493A01027
Tata Sponge Iron Ltd.,METALS,TATASPONGE,EQ,INE674A01014
Techno Elt & Eng Co. Ltd.,CONSTRUCTION,TECHNO,EQ,INE286K01024
Texmaco Rail & Eng. Ltd.,INDUSTRIAL MANUFACTURING,TEXRAIL,EQ,INE621L01012
Tide Water Oil (India) Ltd.,ENERGY,TIDEWATER,EQ,INE484C01022
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,EQ,INE325A01013
Trident Ltd.,TEXTILES,TRIDENT,EQ,INE064C01014
Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,TRITURBINE,EQ,INE152M01016
UCO Bank,FINANCIAL SERVICES,UCOBANK,EQ,INE691A01018
UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX,EQ,INE516A01017
Unichem Laboratories Ltd.,PHARMA,UNICHEMLAB,EQ,INE351A01035
Unitech Ltd.,CONSTRUCTION,UNITECH,EQ,INE694A01020
V-Guard Industries Ltd.,INDUSTRIAL MANUFACTURING,VGUARD,EQ,INE951I01027
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027
VRL Logistics Ltd.,SERVICES,VRLLOG,EQ,INE366I01010
VST Industries Ltd.,CONSUMER GOODS,VSTIND,EQ,INE710A01016
Va Tech Wabag Ltd.,SERVICES,WABAG,EQ,INE956G01038
Videocon Industries Ltd.,CONSUMER GOODS,VIDEOIND,EQ,INE703A01011
Vijaya Bank,FINANCIAL SERVICES,VIJAYABANK,EQ,INE705A01016
Vinati Organics Ltd.,CHEMICALS,VINATIORGA,EQ,INE410B01029
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025
Wonderla Holidays Ltd.,SERVICES,WONDERLA,EQ,INE066O01014
Zee Learn Ltd.,MEDIA & ENTERTAINMENT,ZEELEARN,EQ,INE565L01011
Zensar Technolgies Ltd.,IT,ZENSARTECH,EQ,INE520A01019
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL,EQ,INE768C01010
